"","A0","A1","A2","A4","A5","A6","A7","A8","A9","A10","A11","A12","B0","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B12","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C12","D0","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11"
"isogroup13164",2.44505157538877,2.37966614930425,1.54313774675023,2.16905222375678,1.08035249209002,1.83740021778994,2.04835471973403,1.57876833005686,1.99431755357914,2.14205352094097,2.28821925271687,2.39643779935834,3.63336256518073,2.18583918030207,2.0340298926386,2.71657309363545,2.50250693729984,2.28459308231261,1.6851729311706,3.03586804971166,1.39131275670283,1.33611703494059,1.44983597607909,3.13606399835357,2.8511557838183,2.02613925694103,2.78077463751292,1.7960337771938,1.96455591689714,2.16241575791224,1.96447618914026,2.23515630047472,0.871727192845473,1.4864901177847,2.18282721652562,2.54104682809283,3.0409830170383,1.18138349542735,2.8693661077103,3.24351685956866,2.69933028123918,1.90251677632218,2.6781421129765,1.73480682490043,1.62445588166162,1.64515716831556,1.44421324575617,1.0249531155297
"isogroup7856",3.61308784175212,5.78923512014907,5.52946719114341,6.19486863210479,6.52428121201646,6.35771074227604,6.34319057000567,5.92427261352963,6.42292615439544,6.31978152846441,5.6518118306869,6.419416873994,3.49255492113924,5.15356635428866,5.53831880077053,6.16919884278384,6.1376804553103,6.21948851813005,6.24962402164359,6.80007778283839,6.4341161754621,6.03254692203263,6.36584609260144,6.06663526424384,3.49667142790397,5.46462532085857,5.6859119544048,6.25476197778627,6.16752290378834,6.16579268789638,6.76743858248059,6.55138641966466,6.34268615387753,6.43123704983498,6.47680186740666,6.07805119924792,3.54033131663269,5.5916035003273,5.39563846022836,6.17558016695859,6.75159480317879,6.05002055928284,6.4820729376549,6.16473673274868,6.0547197569458,5.99509595003621,6.10143505167184,6.46875525437821
"isogroup6039",3.74746433012374,3.05427421352029,3.10342651471169,3.64662244324042,3.60370069942141,3.27186946253614,3.70370258570646,3.53959105277932,3.60990629094908,3.88652080153644,3.94564320866507,3.92336720725843,3.14404114396424,2.85837262511634,2.83525170352265,3.51135766913252,3.2655756546413,3.44773787788578,3.35978249059744,3.80618672328064,3.54366467797361,3.55669715126466,3.79605173038467,3.56349742284178,3.27799614492102,3.36525557576809,3.14996460346774,3.32752573138854,3.44907046215509,3.69440093846133,3.54506089257368,3.26474019712492,3.5066046558258,3.25432441894765,3.81923178961453,4.57499079103867,3.56988473332704,2.56555626560694,2.95816001844526,3.76029584147169,3.31237141290376,3.30408314843178,3.55083626872247,3.6759392512911,4.17546250925018,4.06369920277298,4.03680756302004,3.65282638886694
"isogroup11140",3.15961908409335,3.22544332498909,2.47957316058751,2.72297368679922,2.91356688466653,2.85730199190879,3.32713569527303,2.68436726222993,3.21614157878831,2.48330246082855,2.60516451303938,2.69014790504981,3.01991852405438,3.456849122097,3.01186755503343,2.35192334809295,2.37329932130241,2.6015747475634,2.64700153338733,2.70405592385161,2.78371168373504,2.035413173992,3.20337772980204,2.09308569467117,3.36069330453349,3.25953639190378,2.65956385218363,2.42837494781125,2.84416456156577,3.47582585095518,2.84407231092222,2.3408811255065,3.27605487655708,2.4564586392247,2.93850734275477,3.51029917835224,3.61582116139642,3.5267296636595,2.80957995437757,3.18294436457298,2.25202741458956,2.88508416213196,2.52757938616048,2.73065079645907,2.8816297822959,3.38116654921278,2.93292362824295,2.9438135130211
"isogroup14192",2.03322325274058,3.31072948684381,2.68433986367799,2.91925968682146,3.57425186451566,3.37211080522419,2.80004440470204,3.13064403678925,2.97351310448067,2.90126349904895,2.82978101015629,1.75404163636766,2.47237678445054,3.4373173845394,3.29663932555134,3.19917920688585,3.53775903471422,3.30610754533545,2.95683440730983,3.41271171488036,2.5487584245991,3.3241127632787,2.74433822545019,2.80030017782231,1.9679423736661,3.4014693602164,2.84373976900014,3.6533053893148,3.3019659707552,3.44492569115972,3.73184120369224,3.93009857811882,2.75458236747843,3.09568539866051,3.33602191974694,3.33483762224656,2.53608381777119,3.90534117828981,3.43549945167916,3.71282054821775,3.75078377211513,3.5174932048124,3.08076546340758,3.11460833683926,2.88214077693465,3.47821248228801,3.49786647806798,2.52387329945987
"isogroup23594",1.40964660223561,1.41068976500446,3.559799092952,3.61329088715096,2.90111198886946,4.05921986209923,2.46928236108877,3.00742322431499,3.57278888006635,3.74371234635815,3.80845501116465,3.71570431027917,1.56692975873209,1.55209537296528,3.01055589268214,2.98033251148924,2.77555586067109,2.53673650251156,4.20532584696142,3.73475881357953,3.33155156383905,4.82809949952384,3.9406911866447,3.87316388129759,1.57071450128284,1.23741793004174,3.42713995105587,2.36693960697865,2.40800005869035,2.89255843164633,3.38738235726934,3.62779257304167,4.01585356659443,3.82038441277965,3.4469310329905,4.09330865398262,1.97777520644087,1.13788160978085,3.42327854735481,1.66088535622751,2.8647902246569,4.0484678563046,3.57247960002771,3.60971079646511,3.67362232059204,2.1768737941371,4.25656214909751,3.02449211794724
"isogroup527",2.74813755033236,2.63520179153218,4.13892493716767,4.29271573481577,4.19181204909353,3.97916481418073,4.46713905170065,4.80730206587696,4.5902132276506,4.49907289601218,4.95726572362239,4.89159397296142,2.53881938033396,2.36877592460492,4.01363291727271,5.0249580615194,4.77904399064463,4.57576171226283,3.92429934269936,4.81130173056666,4.38901003673981,4.55442152048836,4.66610924045099,4.73376485133064,2.54341616632507,2.51092092602446,3.98901927546842,4.39720920647963,4.29208688716064,4.72430576949662,4.10529322989881,4.13412688109704,4.56942811559599,5.05531598782053,4.69569872663126,4.96038174160665,3.20806797476019,2.3767840964892,3.75336149258305,4.87499651721703,4.15794041947302,4.63271086779229,4.23905396219201,4.80637803421493,5.02607659582591,5.10405723499485,4.69979305663593,4.88029898677226
"isogroup20006",3.26704636213951,2.04131712804409,2.47839372707558,3.33943593261692,3.30864673493337,3.7837520379591,2.51637163621009,3.49260775458522,3.17515889384271,3.54635823215725,3.24505968409274,3.73913349474162,3.134931077601,2.04958197929621,3.04477201826503,3.12054980824127,3.20846413380954,3.53791678223247,3.37958939037328,3.22257922276229,3.64397123454382,3.13713704733818,3.50898733190381,4.1487226244997,3.80149744479763,1.83056597138202,2.67432660158165,2.66610413262224,2.96235394862232,3.3319139050864,3.09313696439955,3.1197569234655,3.11595791710983,2.78979027561396,3.47801749378228,4.11560428414537,3.07596034288039,2.51990717561184,2.7116452076728,2.83353712466147,3.09781966970892,3.08956687325479,3.21692611449993,3.71671121301999,3.22990867835043,3.49599945422935,3.5146354112256,3.19562822981147
"isogroup18245",2.6575488759685,3.24643270276458,5.10005320483092,5.29986745174563,4.91178128820167,4.65404317209232,4.71425443790705,4.22335071996287,4.0586268015781,4.50844607845044,3.76650711268243,5.0100573002407,2.86309234517477,3.11013204333675,5.54966128932523,4.59202611581376,5.08327472876882,5.16390800321707,4.31238835825519,4.74718642916638,4.62818350389789,3.87192760573236,4.49923992152049,4.75702851148946,3.0603905719278,3.08059675916145,5.36264868737208,4.9643543899248,5.14493657117846,5.37180569264885,4.77469275715799,4.97333139577383,4.54888488169349,3.32118885117662,4.13255611284704,4.45003448769876,2.9214127290853,3.37982873045297,4.95688347872866,4.57675373672245,4.88923245546427,5.28516590755529,4.85766003766672,4.6946204419825,4.34479745650791,4.18329683475103,4.50753579200639,3.77975157825265
"isogroup30069",2.16422613377727,3.3022676649232,2.97351812925177,3.5828687552525,3.42230312905115,3.65040906280458,4.47847029553433,4.1011157113259,4.6658464798735,4.1836705624661,4.72228845842891,4.84316873286708,2.60116194682498,3.78884943295793,3.66263936862075,4.07131546105322,3.31874379730515,3.7116287979936,3.96128551688985,4.35295622595445,3.77304201546125,4.44450041132338,4.40380676593847,4.53671570212038,2.60627461796993,3.92979138387286,3.47100866050434,3.63876820364962,3.9136636630631,3.91220622964863,3.8377836547022,4.18538986411253,4.16618784598824,4.15587571295376,4.46874011658714,4.6877617486914,2.40537530954765,2.69953333328362,3.09015274545797,4.0576250899824,3.71814207276391,3.82791080568384,3.99080517288808,4.48402733281787,4.38257933451246,3.99126527293991,4.08489824314967,4.77440313640308
"isogroup2977",5.58005218837756,4.67896474932891,5.04310477633004,4.42155642027669,4.57328968950207,4.55035839478282,5.46728862873453,4.93742854252683,5.84026223845885,5.50634151647845,5.53770396049201,5.63076120161488,5.26956542981731,4.21404381755846,4.63432512430392,4.43980635419848,4.40356943643688,4.32735001116253,4.74540499425141,5.29264427313251,5.09225392112153,5.51595187478727,5.5475121876729,5.51870347582081,5.04265453251443,4.26102797856515,4.32157817151167,4.39330745213256,4.95033759893123,4.56380018988875,4.87135836854998,5.65809236424056,5.23330238410123,5.85435073536156,4.93181680278879,4.91801700973775,5.47317311527941,4.53889500847573,4.58890869688443,4.36795576842669,4.74675385056642,4.52470948242359,4.91766060096717,4.91549810825992,5.45902057720481,4.56970881054295,5.09156354142746,5.48353948054162
"isogroup12777",2.55449736699122,2.33663336042867,2.71402187745656,2.75878382828729,2.33308090434708,2.94260684524542,2.62952694761283,2.86302145448175,2.30013472475208,2.40786099483596,3.30763905958051,2.99606949831124,2.81395504747691,2.73234408688961,3.2634686707399,2.44240198668622,2.53502690499921,2.97893449734034,3.14021464267911,2.63119248786661,2.71717205881228,2.83647163407196,2.89189096813497,2.50596079126128,2.6661525789435,2.50655249790549,2.68513410937489,2.22016635754297,2.90910955992925,2.41027166835247,2.44711413082983,2.25517700315641,2.71422505114618,2.12699332980935,3.02663172413139,2.31488431049576,2.34395825032707,3.11565637780867,2.8378729640406,2.97222461659597,3.31312749778216,3.08634433574337,2.62601039747409,2.48232794248905,3.26332189618546,2.9982444558572,2.70647063127699,1.78581717382925
"isogroup38177",4.73387482816219,3.80044074059999,4.47493016890429,4.50169117868556,4.81895433178729,4.52975529115446,4.68440375990553,4.83777300723487,4.00149978298878,5.01104482844611,4.45584111518764,4.61447972412634,4.04399512878528,3.9237634304036,4.34181393008343,4.13384679285012,4.57793755839062,4.60352069328356,4.91920013024865,4.66124225075694,4.6421691302806,4.91265105770502,5.32935358932517,4.67533443507406,4.26768594313198,3.98415658425841,4.44284067428947,4.70024789553228,4.3403788559462,4.52730724594142,4.34027585639508,5.01447192070037,4.86389868966775,4.50998067408068,4.89584317462729,5.0043363563157,4.19928690524752,4.002295296142,4.44971913228869,3.83018250265057,4.26394313278317,4.60202195182644,4.82308490518606,4.25810516381437,4.67555369010421,4.89765867812492,5.13766061263911,4.45172218625471
"isogroup2060",5.95532450043956,4.34911995110165,5.84870056469929,5.99453562812148,6.55217133857657,6.37781420737332,6.13563906106482,6.59886932064964,6.26891811514417,6.59549812347017,6.3169782623684,6.05353214543909,5.71267541514145,4.15088527803009,5.94689554545165,6.28110329741971,6.05709449996284,6.45588891782914,6.36489910366983,6.35337369585966,6.42927944317035,6.50536083911125,6.48160877787176,6.20216522331476,5.6673068697211,4.2346933055679,6.03723129992684,5.85725429304566,6.32610698378947,6.11687107142808,6.38193976433277,6.10608626336182,6.5980097449543,6.48232459531719,6.51271359026424,6.14382423249853,5.53544433778631,4.35038788618198,6.22370675125388,6.01942286754374,5.90953401962663,5.85561502236911,6.55368986190484,6.23550041628735,6.36693134259695,6.50249800855873,6.49112132009378,6.34205344262426
